Date,Close,High,Low,Open,Volume,Ticker,MA7,MA30,MA90,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,RSI,BB_Middle,BB_Upper,BB_Lower,BB_Width,Daily_Return,Volatility,Price_Range,Volume_Change,Close_Diff1
2025-06-14,105472.40625,106203.7578125,104379.3671875,106108.0859375,38007870453,BTC-USD,107503.43415178571,106576.971875,95164.93272569444,106524.63205145768,105616.89337100138,907.7386804562993,1212.5356507392512,-304.79697028295186,52.148884589009114,106315.990234375,110824.12881233891,101807.85165641109,9016.277155927819,-0.5830491579897124,1.8044924173053427,1824.390625,-45.35207830363319,-618.5625
2025-06-15,105552.0234375,106157.1015625,104519.8828125,105464.84375,36744307742,BTC-USD,107468.91629464286,106645.7296875,95403.55868055555,106374.99995700266,105612.08819074203,762.9117662606295,1122.6108738435269,-359.69910758289734,49.72920089530708,106121.573046875,110391.46006366452,101851.68603008548,8539.774033579044,0.0754862720314664,1.8034997669164203,1637.21875,-3.3244764727413556,79.6171875
2025-06-16,106796.7578125,108915.375,104997.625,105555.59375,50366626945,BTC-USD,106969.29575892857,106765.91875,95671.09487847223,106439.88578092532,105699.84149605743,740.044284867894,1046.0975560484003,-306.0532711805063,52.3475050507358,106011.67890625,110078.52857575269,101944.82923674732,8133.6993390053685,1.1792615001237072,1.8130026855818668,3917.75,37.07327757716665,1244.734375
2025-06-17,104601.1171875,107750.1953125,103396.53125,106794.1171875,55964092176,BTC-USD,106161.27901785714,106704.42239583333,95868.28255208333,106156.99830501372,105618.45451023837,538.5437947753526,944.5868037937908,-406.04300901843817,48.042974271565946,105851.618359375,109873.46362263315,101829.77309611686,8043.690526516293,-2.0559056941174436,1.7621877676754223,4353.6640625,11.113440725566925,-2195.640625
2025-06-18,104883.328125,105581.8515625,103602.265625,104602.0703125,47318089133,BTC-USD,105617.95089285714,106680.32734375,96098.46180555556,105961.04904655008,105564.00070392442,397.0483426256542,835.0791115601635,-438.0307689345093,50.36342433824953,105813.696875,109858.11266201896,101769.28108798103,8088.831574037933,0.2697972498650669,1.7573334916828138,1979.5859375,-15.449197345700549,282.2109375
2025-06-19,104684.2890625,105250.890625,103940.7734375,104886.7734375,37333806920,BTC-USD,105440.12723214286,106610.10078125,96327.80677083334,105764.62443361929,105498.83687863372,265.7875549855671,721.2208002452442,-455.43324525967705,58.69955468754441,105847.9828125,109838.88134173815,101857.08428326187,7981.797058476281,-0.1897718789613423,1.7445212651353506,1310.1171875,-21.100349561742725,-199.0390625
2025-06-20,103309.6015625,106539.3828125,102372.2109375,104681.03125,50951862476,BTC-USD,105042.7890625,106397.81822916666,96544.21918402778,105386.92860729324,105336.67129966085,50.25730763238971,587.0281017226733,-536.7707940902836,46.710111694722336,105781.558203125,109899.4483332482,101663.66807300178,8235.780260246422,-1.3131746055793259,1.6786729159342886,4167.171875,36.476471807927815,-1374.6875
2025-06-21,102257.40625,104015.78125,100973.0625,103315.078125,38360555118,BTC-USD,104583.50334821429,106083.95572916667,96724.25286458334,104905.46362924813,105108.57759227857,-203.11396303043875,428.99968877205094,-632.1136518024897,39.66837029003899,105611.8234375,110021.6815565106,101201.96531848941,8819.716238021181,-1.0184874363913243,1.6413491022742006,3042.71875,-24.712163100869798,-1052.1953125
2025-06-22,100987.140625,103351.6328125,98286.203125,102212.03125,65536997201,BTC-USD,103931.37723214286,105873.93385416667,96874.12204861111,104302.64470551764,104803.28596507275,-500.64125955510826,243.07149910661911,-743.7127586617273,36.14389397854762,105367.10390625,110233.52433120893,100500.68348129108,9732.840849917848,-1.2422235919953284,1.5030101822031665,5065.4296875,70.84475706726137,-1270.265625
2025-06-23,105577.7734375,106116.859375,99705.75,100987.4765625,65237759656,BTC-USD,103757.23660714286,105800.15442708334,97075.30060763888,104498.81835659184,104860.65540747477,-361.8370508829248,122.08978910871033,-483.9268399916351,36.47418783288568,105374.369140625,110241.63423760138,100507.10404364862,9734.530193952756,4.545759771084712,1.7316182932265478,6411.109375,-0.4565933103133246,4590.6328125
2025-06-24,106045.6328125,106316.828125,104740.2421875,105571.515625,48822986421,BTC-USD,103963.59598214286,105700.49583333333,97288.02005208333,104736.78981134694,104948.4315115507,-211.64170020376332,55.343491246215606,-266.9851914499789,38.21305769793365,105440.0515625,110306.27096091912,100573.83216408087,9732.43879683825,0.4431419225533917,1.7193196856718027,1576.5859375,-25.161460665656556,467.859375
2025-06-25,107361.2578125,108168.3984375,105881.390625,106047.40625,51624120283,BTC-USD,104317.5859375,105631.1921875,97512.28845486112,105140.55411921663,105127.1593856951,13.394733521534363,46.95373970127936,-33.559006179745,46.237008967012414,105729.316796875,110307.68061777166,101150.95297597835,9156.727641793317,1.2406215749838134,1.7344202401584032,2287.0078125,5.7373259346445105,1315.625
2025-06-26,106960.0,108305.546875,106666.3515625,107375.0703125,43891990613,BTC-USD,104642.6875,105563.37083333333,97763.47569444444,105420.46887010639,105262.92535712509,157.54351298129768,69.07169435728304,88.47181862401465,53.37920855008059,105857.799609375,110422.15344563799,101293.445773112,9128.707672525983,-0.3737454466123835,1.7341925169570809,1639.1953125,-14.977746114825742,-401.2578125
2025-06-27,107088.4296875,107772.46875,106449.9921875,106954.921875,45353692675,BTC-USD,105182.52008928571,105539.57421875,98035.59618055556,105677.07822662848,105398.14790011581,278.9303265126655,111.04342078835953,167.88690572430596,53.27664676682799,105931.43984375,110526.76108886958,101336.11859863043,9190.642490239145,0.12007263229245613,1.7230828754293674,1322.4765625,3.330225040117152,128.4296875
2025-06-28,107327.703125,107567.8828125,106883.9765625,107090.546875,30037708335,BTC-USD,105906.84821428571,105595.77239583334,98313.29817708333,105931.02051868563,105541.0779167739,389.94260191173817,166.8232570130353,223.11934489870288,56.25038163759905,106008.142578125,110644.80519101673,101371.47996523327,9273.325225783454,0.22343537784448309,1.6815885007375109,683.90625,-33.77009331908827,239.2734375
2025-06-29,108385.5703125,108526.3046875,107230.109375,107327.8203125,35534874438,BTC-USD,106963.76674107143,105742.00572916666,98600.37213541666,106308.64356388785,105751.78105719805,556.8625066897948,244.8311069483872,312.03139974140765,58.9557435242014,105912.716015625,110246.64906643554,101578.78296481447,8667.866101621068,0.9856422495764683,1.6609538238293773,1296.1953125,18.30088381474393,1057.8671875
